code,display,system,include_type,valueset_url,valueset_name
60,SPEECH CHILD DICHOTIC LISTENING TEST,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
61,SPEECH CHILD TEST OF MONAURAL LOW-REDUNDANCY SPEECH PERCEPTION,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
62,SPEECH CHILD AUDITORY DISCRIMINATION TEST,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
63,SPEECH CHILD TEST OF LOCALIZATION AND LATERALIZATION AND OTHER BINAURAL FUNCTIONS TEST,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
64,AUDIOLOGIC REHABILITATION INDIVIDUAL AUDITORY TRAINING,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
65,AUDIOLOGIC REHABILITATION GROUP AUDITORY TRAINING,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
66,AUDIOLOGIC REHABILITATION COMPUTER-BASED AUDITORY TRAINING,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
67,AUDIOLOGIC REHABILITATION INFORMAL TRAINING,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
68,AUDIOLOGIC REHABILITATION COGNITIVE TRAINING,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
69,AUDIOLOGIC REHABILITATION INDIVIDUAL COMMUNICATION STRATERGIES TRAINING,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
70,AUDIOLOGIC REHABILITATION GROUP COMMUNICATIONS STRATERGIES TRAINING,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
71,AUDIOLOGIC REHABILITATION COUNSELLING,http://fhir.hie.moh.gov.my/CodeSystem/audiology-aural-rehabilitation-my-core,explicit,http://fhir.hie.moh.gov.my/ValueSet/audiology-aural-rahabilitation-my-core,ValueSetAudiologyAuralRehabilitationMyCore
