artefact_name,artefact_type,source_archive,source_path,external_standard_dependency,local_or_external,status,notes
ValueSetDiagnosisRoleMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Encounter\ValueSet-diagnosis-role-my-core.json; ValueSets/value-set-diagnosis-role-my-core.csv,HL7 Terminology,mixed,active,Verified against terminology extract.
ValueSetDiagnosticProcedureMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Non Profile\ValueSet-diagnostic-procedure-my-core.json; ValueSets/value-set-diagnostic-procedure-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetDischargeDispositionMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Encounter\ValueSet-discharge-disposition-my-core.json; ValueSets/value-set-discharge-disposition-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetDistrictMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Individual\ValueSet-district-my-core.json; ValueSets/value-set-district-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetDrugAllergyMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Allergy\ValueSet-drug-allergy-my-core.json; ValueSets/value-set-drug-allergy-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetDrugCategoryMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Medication\ValueSet-drug-category-my-core.json; ValueSets/value-set-drug-category-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetDrugCautionaryMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Medication\ValueSet-drug-cautionary-my-core.json; ValueSets/value-set-drug-cautionary-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetDrugDoseFormMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Medication\ValueSet-drug-dose-form-my-core.json; ValueSets/value-set-drug-dose-form-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetDrugMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Medication\ValueSet-drug-my-core.json; ValueSets/value-set-drug-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetDrugScheduleMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Medication\ValueSet-drug-schedule-my-core.json; ValueSets/value-set-drug-schedule-my-core.csv,None,local,active,Verified against terminology extract.
ValueSetDrugSpecialInstructionMyCore,ValueSet,MY Core IG.zip; MY_Core_Terminology_Extracts.zip,Value set\Medication\ValueSet-drug-special-instruction-my-core.json; ValueSets/value-set-drug-special-instruction-my-core.csv,None,local,active,Verified against terminology extract.
